audio_file_name,Submitted Audio Link,Question,Human Transcription,This,is,Zara.,She,loves,to,draw.,This,is,Faiz.,He,loves,to,build,things.,Notes
grade1_profile28399_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1sTMA00d3BmPhY_BjJpTY9WuxzdLdzRdb/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,Zara. She loves to draw. This is Faiz. He loves to build things. ,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,Parent speaking
grade1_profile28443_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1FFY3cKLerj1zOO4R3qNV9mxXNniSytTg/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,I am good,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
grade1_profile30476_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1OQdQbtBnPMBBCtpsjQoLsDAdR0EtkE44/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to builds things.,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,
grade1_profile28469_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1MGB2c7_6mesIHyCApk4zKfm-l_yzkWai/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. He loves to draw. This is Faiz. He love to build thing.,2,2,2,0,2,2,2,2,2,2,2,1,2,2,1,
grade1_profile30693_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1n5BfLlXXkO7bBxKay-ktNv0IzQkJWGi6/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,,,,,,,,,,,,,,,,,Three people speaking in one audio
grade1_profile28468_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1zlJMc9zmLVbIQM3Q4LxB9ENYFgP4PTvc/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,is Zara. She loves to draw. This is Faiz. He loves to build things. ,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Parent speaking
grade1_profile28382_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1pbb1AYxODIf3rVHt3hA-tp6El3mLOCaJ/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She love to draw. This is Faiz. He loves to build things. ,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,
grade1_profile28387_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1fKUu6aCWL1PzJdRYbYZIp-ShDab47TXV/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,Two people speaking in one audio
grade1_profile28465_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1fsjnPPw1YJaj0bNn-Ued8oQJtm_WkM9s/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,,,,,,,,,,,,,,,,,
grade1_profile28364_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1TYUnLJdFKPvRv9iUoTN99OAiWEbhL1mh/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
grade1_profile28448_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1xguEyclK_x33HYhZm1nxv-w-kJJUaE2B/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. He love to draw. This is Faiz. He love to build things. ,2,2,2,0,1,2,2,2,2,2,2,1,2,2,2,
grade1_profile28438_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1I41mt3yyG36Id0e0Pkl3s996G8GJdYNI/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
grade1_profile28471_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1kTUMAY77l2_5oCKHaKbEnT4vMv2CadHu/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build thing. ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,
grade1_profile28493_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1rPJjTM0dL0BDfJ6BDVd2bvx2PHvEURQh/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She love to draw. This is Faiz. He love to build things. ,2,2,2,0,1,2,2,2,2,2,2,1,2,2,2,
grade1_profile28448_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1We5MeZi-R-Osl7ejlGUlxDZCGxVOeLKi/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. He loves to draw draw. This is Faiz. He loves to build things. ,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,
grade1_profile31293_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1x5ItNCKCyCx7EgDBof3eoovEXLArMtVK/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She love to draw. This is Faiz. He love to builds things. ,2,2,2,0,1,2,2,2,2,2,2,1,2,1,2,
grade1_profile28371_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1iJPq0kYfh0--JzxCTOeSkM3S3sIqJMzZ/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw.,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,Parent helping in background.
grade1_profile28398_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1fCFIksOmsGEp-Uq0AaK1YcNC6v2R2zH_/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,"This, This is Sarah. She loves to draw",2,2,0,2,2,2,2,0,0,0,0,0,0,0,0,
grade1_profile28446_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1Tq-BnkEYBwhIHnxnR1mEW8cFiUfUM_LZ/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Parent helping in background.
grade1_profile30472_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1aTUlxo-iZuKZbbeDutw63XpMHlITLoUs/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Parent speaking
grade1_profile28352_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1ZD6Sxw0FvsjhKjbZXolgm14QlAnGIHOM/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build this. ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,
grade1_profile31361_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1XTGNSpgJnEft_zoQQyJdEYQGGcogLTGj/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
grade1_profile28470_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1FltIiu-5nUtbLO5eEOEhK8ojycZE6W5n/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She love to draw. This is Faiz. He loves to some build thing. ,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,
grade1_profile28465_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1Gp74ahB-QLYWTcHP3-T9uOAQdW9kECSn/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. It is Faiz. This is Faiz. He love to build things. ,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,
grade1_profile28345_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1p0H-VE6GYIV4T12lCj-OKSEUcS4W2Cuf/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,Parent speaking
grade1_profile28403_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1bmUBqgRNPv4QGcKOCLGMNcok33_WB4BV/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,
grade1_profile28432_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1vmaPZLBvV0X7lJkKhUTlhOil0bh_MheW/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiza Faiz. He loves to build things. ,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,Parent helping in background.
grade1_profile28516_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1j_JEynar6juDx5LlXqofeJBHkoBZOVY6/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He love to build thing.,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,
grade1_profile30596_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1HdzgPO5QR8rGxVp02VNFDgvIsleUcL_e/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,Parent helping in background.