audio_file_name,Submitted Audio Link,Question,Human Transcription,Come,on.,We,can,do,it,together.,Notes
grade1_profile28509_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1xzlYojZspq99r9AvTOBPPpdjELO5r_3w/view?usp=drivesdk,Come on. We can do it  together.,Come on. we can do it together.,2,2,2,2,2,2,2,
grade1_profile28518_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1TXuETW2EIQJ_aSrMiAmBUEoZOJ_UQKcj/view?usp=drivesdk,Come on. We can do it  together.,Come on. we can do it together.,2,2,2,2,2,2,2,
grade1_profile28375_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1ThkD0ZFa96gv1OKqBOIxV7WMpBryAKJ_/view?usp=drivesdk,Come on. We can do it  together.,Come on. we can do it together.,2,2,2,2,2,2,2,
grade1_profile28444_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1f9JqXalR17XmEn6RQkqGDdI9sdsi_oJP/view?usp=drivesdk,Come on. We can do it  together.,Come on on. we can do it tagether.,2,2,2,2,2,2,1,
grade1_profile30840_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1A8pwZ2l5juhyGN1bbQbHzwax284cAj6f/view?usp=drivesdk,Come on. We can do it  together.,Come on. we can do it together.,2,2,2,2,2,2,2,
grade1_profile31361_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1KfurZfXaMYY2jfYdxMtYypNL-B4fiz9F/view?usp=drivesdk,Come on. We can do it  together.,Come on. we can do it together.,2,2,2,2,2,2,2,
grade1_profile28399_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1uKWKeZslAZ6C-LcRjijZL8pozw_vKO3D/view?usp=drivesdk,Come on. We can do it  together.,,,,,,,,,
grade1_profile28468_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/13By6azb5IHr6tjEl1RwbTeILgVW7cvrj/view?usp=drivesdk,Come on. We can do it  together.,Come on. we can do it together.,2,2,2,2,2,2,2,Parent speaking
grade1_profile28390_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1UgI0N36mcqoQwMfD1RdrRnKkn0mTOXnu/view?usp=drivesdk,Come on. We can do it  together.,Come on. we can do it together.,2,2,2,2,2,2,2,Sibling speaking
grade1_profile28441_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1Ha3rTbcwSZyRk-qv5avcaf84IPa27_kx/view?usp=drivesdk,Come on. We can do it  together.,Come on. we can two each together.,2,2,2,2,0,0,2,
grade1_profile28429_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/169eP8t78cfeAjDny0BIv8fzpX0roU01r/view?usp=drivesdk,Come on. We can do it  together.,Come on. we can do it together.,2,2,2,2,2,2,2,
grade1_profile28350_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1kcHVzGg_x4bsWXE-aIoJoVhvOAlIcS--/view?usp=drivesdk,Come on. We can do it  together.,Come on. we can do it gether.,2,2,2,2,2,2,1,
grade1_profile28403_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1crfotbIZ0eznX2mzGco0oHEVmY3Uwy5I/view?usp=drivesdk,Come on. We can do it  together.,Come on Come on. we can do it gether.,2,2,2,2,2,2,2,
grade1_profile28428_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/19naHFn_ynlmk_HbLFgO__G5O1bCwNChD/view?usp=drivesdk,Come on. We can do it  together.,,,,,,,,,
grade1_profile31204_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/15bAjLlm2COxhFQXZDl950gATyubIQY4d/view?usp=drivesdk,Come on. We can do it  together.,come on. we can do it together.,2,2,2,2,2,2,2,
grade1_profile28403_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1daEmGQRyMrLOfCkAUlc0Ye9GIFupmUro/view?usp=drivesdk,Come on. We can do it  together.,come on. we can do it together.,2,2,2,2,2,2,2,
grade1_profile28425_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/11TAG0wYZNKNvU2chuDHmy3p-UdhMPMtn/view?usp=drivesdk,Come on. We can do it  together.,come on. we can do it together.,2,2,2,2,2,2,2,
grade1_profile30569_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1ZDTuBKIcuQwpwysQSrdEqunxaEidOy0L/view?usp=drivesdk,Come on. We can do it  together.,come on. we can do it together.,2,2,2,2,1,2,2,
grade1_profile28398_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1WDvGqFDlWIPYc3B6vQfhx--c_TdHDUyQ/view?usp=drivesdk,Come on. We can do it  together.,come on. we can do it together.,2,2,2,2,2,2,2,
grade1_profile28516_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1W7zZe-7r3ViwDYUkMT9MUNTpD2nbNtJh/view?usp=drivesdk,Come on. We can do it  together.,come on. we can do it together.,2,2,2,2,2,2,2,
grade1_profile31205_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1QK1j_vz53rNZDZ6XEQIYwnV6j0Odnrdv/view?usp=drivesdk,Come on. We can do it  together.,come on. we can do it together.,2,2,2,2,2,2,2,
grade1_profile28473_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1DGoz9IFyoVFo43rmp8S7HiOqZOR751ys/view?usp=drivesdk,Come on. We can do it  together.,come on. we can do it together.,2,2,2,2,2,2,2,
grade1_profile30472_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1oqFT_tz1SpewhMNNtW1Z-dQD29PXWI6N/view?usp=drivesdk,Come on. We can do it  together.,come on. we can do it ,2,1,2,2,2,2,0,
grade1_profile28381_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1F3LooXAi6jLUDrRaZHfCprz1x62fqT0V/view?usp=drivesdk,Come on. We can do it  together.,come on come on. we can do it gether.,2,2,2,2,2,2,1,Parent Helping
grade1_profile30693_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1HJ-pOHjaDWCo6IyAv8c8xtP2d4s5W1hw/view?usp=drivesdk,Come on. We can do it  together.,come on to. we can do it gether.,2,2,2,2,2,2,1,Multiple people are speaking 
grade1_profile28421_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1mrIYqzTmTyuQjRECruoIefYl0qRfTpR8/view?usp=drivesdk,Come on. We can do it  together.,come on. we can do it together.,2,2,2,2,2,2,2,
grade1_profile28431_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1oB9GirjW3v5t5w17oKp0eqxUoa-4nvlX/view?usp=drivesdk,Come on. We can do it  together.,come on. we can do it together.,2,2,2,2,2,2,2,
grade1_profile30496_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1YcMTXYhkjE2Z4McXTo9eBkB3tgm0G0q7/view?usp=drivesdk,Come on. We can do it  together.,come on. we can do it together.,2,2,2,2,2,2,2,
grade1_profile28516_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1gICTrjlzr8QEjp0nFDvedCkvu5mD7zh3/view?usp=drivesdk,Come on. We can do it  together.,come on. we can do it together.,2,2,2,2,2,2,2,